# x(kpc) y(kpc) z(kpc)
-3.594547 11.825844 -0.222524 
-5.252408 1.891675 -0.257764 
-9.506588 10.917701 0.062272 
-8.269318 -2.424421 0.354123 
3.833439 -6.988931 0.373793 
1.624183 -3.821995 -0.002364 
-0.710660 2.753094 -0.398476 
-0.751844 3.646314 0.512682 
-12.132902 -1.179250 -1.294917 
2.218537 -0.512740 -0.416267 
1.824172 -0.313890 0.679746 
0.878699 2.182002 2.059843 
-9.151769 3.883983 0.950094 
-8.886038 4.958011 0.545815 
-6.637910 4.472629 0.313396 
-2.642732 -0.331863 0.082179 
1.860559 0.501140 -0.167146 
1.410163 -11.764665 -0.794531 
0.227038 9.213640 -0.283579 
-7.930323 -0.692705 -0.585820 
4.296652 -3.501717 -0.623755 
-5.363528 1.932518 1.040577 
-0.116598 -0.855995 0.513808 
2.903252 3.588317 0.661660 
4.477246 10.732567 -0.202443 
3.233561 8.143831 0.605427 
-0.216718 2.464135 0.356655 
0.244932 1.042596 0.338267 
-11.201064 -22.749089 0.693491 
-1.168693 2.017075 -0.041519 
-0.325998 3.788630 0.702427 
-5.329532 -4.377706 0.062164 
1.365195 -6.143900 0.473821 
-0.205958 -10.903093 0.518516 
-6.704038 -5.341615 0.661721 
-12.913083 -11.302045 0.010772 
6.477357 -0.135048 -0.326956 
7.614196 -23.584155 -0.525523 
0.531225 -3.141391 -0.523154 
3.627236 1.561244 -0.376256 
-0.443985 -0.409668 -0.636448 
-8.410993 0.141724 0.115963 
0.036515 3.624922 0.098578 
1.955575 4.814875 -0.222806 
-19.182793 8.688275 0.106938 
-4.858087 -2.895384 -0.052532 
